Date,Crypto_Volume,Crypto_Market_Cap
2019-06-23,48554949824.57188,278728733525.34357
2019-06-24,41515562738.023125,278926332411.39056
2019-06-25,41541408293.47253,287821429743.4418
2019-06-26,60795602723.36013,316533883996.0673
2019-06-27,78798580741.70903,295547450842.1394
2019-06-28,69284909941.85236,289757178597.6808
2019-06-29,53119380412.52361,295170121920.6585
2019-06-30,47377890944.4892,288377976976.9833
2019-07-01,47644878409.370674,269312973788.32565
2019-07-02,49885263108.70455,259998881179.9517
2019-07-03,48282839563.11381,278911720987.33453
2019-07-04,44341376348.959015,286298911349.56335
2019-07-05,41486475434.50956,274291990560.76117
2019-07-06,38313536323.29505,279233816635.40894
2019-07-07,34490673565.32474,278567213595.738
2019-07-08,36518326423.01894,288201295134.6909
2019-07-09,45097956646.535095,301725395184.9665
2019-07-10,48401913996.346405,301626849445.96313
2019-07-11,55150211665.259056,275305615911.0988
2019-07-12,46336227483.811264,275643779223.1148
2019-07-13,36961897057.00906,272710064664.55063
2019-07-14,38762014928.908905,259670630789.14267
2019-07-15,45729870241.2176,246087396264.88397
2019-07-16,40184665839.78512,243265661540.60776
2019-07-17,47968831927.548035,226272511930.893
2019-07-18,46587797581.60982,237919983075.2017
2019-07-19,43128245927.866516,246489574795.1088
2019-07-20,36717244567.2753,252389720684.53214
2019-07-21,33378498809.19633,250456631354.76178
2019-07-22,29849815761.60226,247709000930.61926
2019-07-23,30730085845.44432,239526778968.5487
2019-07-24,31947872907.47453,231813767363.36313
2019-07-25,31655005234.910862,239533014442.4351
2019-07-26,26609980224.164097,234547465644.45126
2019-07-27,28630226421.95444,233099036826.47705
2019-07-28,35620719247.0984,227903854591.23196
2019-07-29,26313453798.78499,229063424858.12866
2019-07-30,24057433169.635025,228624437232.52457
2019-07-31,25813177185.1047,235211092573.74567
2019-08-01,27111302948.76755,239454012213.72223
2019-08-02,27762201255.989437,246518650704.26782
2019-08-03,27946143816.917046,252536209132.6048
2019-08-04,25183184155.408184,252566778776.55026
2019-08-05,36188275534.571205,269057105626.5953
2019-08-06,38488768554.99597,270810518754.90002
2019-08-07,35687003171.90345,269456444958.613
2019-08-08,35641727623.635155,270990818761.54062
2019-08-09,32767935119.049564,269200052393.56076
2019-08-10,31538121378.40442,264356233453.96417
2019-08-11,29541674287.993633,261840198668.0007
2019-08-12,26702215276.62731,262012328639.16766
2019-08-13,26875590782.15356,256981559816.62195
2019-08-14,34186098256.565933,242744436138.27374
2019-08-15,41645252869.477394,230294539859.79968
2019-08-16,37443666466.984604,233748169833.12976
2019-08-17,29275549799.860813,235188626755.5454
2019-08-18,25752829105.071423,236523939899.01074
2019-08-19,27345221195.86842,243667123588.42963
2019-08-20,27289702077.914238,245625540168.98398
2019-08-21,30619048145.038166,234023204778.69745
2019-08-22,31959547331.34731,231316177784.12027
2019-08-23,25252296721.317585,235705066699.0488
2019-08-24,23831537740.735767,233509714587.744
2019-08-25,22530850653.688423,232489390981.81238
2019-08-26,28676476057.35653,237050187440.30292
2019-08-27,26233428603.191154,233756337030.53464
2019-08-28,25251131893.248646,230336254520.44812
2019-08-29,33575475692.900723,217188562545.84018
2019-08-30,27303450635.28712,217266495710.43884
2019-08-31,24317571273.1255,218202943427.70605
2019-09-01,21115924955.63282,218808654603.14877
2019-09-02,24245219084.199535,224469740236.04434
2019-09-03,33292688890.64194,236172052997.73312
2019-09-04,31880936528.001087,236626431078.87668
2019-09-05,28843700400.116573,236244074316.9077
2019-09-06,28950510795.36212,237777427891.6362
2019-09-07,31558411302.990307,233569943556.0365
2019-09-08,29606636429.455997,236071847337.0748
2019-09-09,29451222159.43859,233472990037.49945
2019-09-10,30092955974.647335,232424508666.5218
2019-09-11,29233762010.42421,228843574287.09555
2019-09-12,28832643776.292492,231060746972.87708
2019-09-13,25927215792.430695,232721581002.639
2019-09-14,25557006151.50832,234030203249.82083
2019-09-15,27119677960.396545,234714914640.57617
2019-09-16,26053292624.933456,234248175227.8066
2019-09-17,30830505552.9085,235541607911.43634
2019-09-18,36476110899.77897,238889921926.95184
2019-09-19,37846701758.851295,234142066555.1585
2019-09-20,35306232449.703636,237986023693.85696
2019-09-21,29148585039.530663,235658987324.92993
2019-09-22,27684721122.769196,232591987358.37518
2019-09-23,27093484660.353237,230314631931.38144
2019-09-24,34896921634.84699,218554394068.72644
2019-09-25,50626315763.365105,194987139662.38733
2019-09-26,35166735251.78106,191582805887.69812
2019-09-27,34983324485.936905,187424178870.8549
2019-09-28,28748863630.84586,190336661372.09247
